STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes,Males,Females,Persons,Latitude,Longitude,Total Crimes Weigt,Cardinal Direction,Crime Weight Per Population
ANDHRA PRADESH,2001,871,765,420,3544,2271,5791,7,13669,38527000,37683000,76210000,14.7504291,78.57002559,68991,S,0.0009052748983073087
ANDHRA PRADESH,2002,1002,854,449,3799,2024,7018,0,15146,38976000,38179000,77155000,14.7504291,78.57002559,76426,S,0.0009905514872658933
ANDHRA PRADESH,2003,946,931,466,4128,2286,8167,5,16929,39414000,38660000,78074000,14.7504291,78.57002559,82539,S,0.0010571893331967107
ANDHRA PRADESH,2004,1016,1030,512,3817,2310,8388,2,17075,39844000,39129000,78973000,14.7504291,78.57002559,84419,S,0.0010689602775632177
ANDHRA PRADESH,2005,935,995,443,3595,2508,8696,3,17175,40264000,39587000,79851000,14.7504291,78.57002559,82237,S,0.0010298806527156829
ANDHRA PRADESH,2006,1049,1329,519,4534,2411,9164,0,19006,40677000,40036000,80713000,14.7504291,78.57002559,94205,S,0.001167160184852502
ANDHRA PRADESH,2007,1070,1564,613,4406,3316,11335,0,22304,41080000,40474000,81554000,14.7504291,78.57002559,106868,S,0.0013103955661279644
ANDHRA PRADESH,2008,1257,1396,556,4730,3551,10306,0,21796,41475000,40900000,82375000,14.7504291,78.57002559,106376,S,0.0012913626707132019
ANDHRA PRADESH,2009,1188,1526,546,5147,3520,11297,0,23224,41862000,41316000,83178000,14.7504291,78.57002559,111456,S,0.0013399697035273751
ANDHRA PRADESH,2010,1362,1531,588,4634,4562,12080,0,24757,42240000,41724000,83964000,14.7504291,78.57002559,117656,S,0.0014012672097565623
ANDHRA PRADESH,2011,1442,1612,599,4849,3658,13376,0,25536,42611000,42124000,84735000,14.7504291,78.57002559,122082,S,0.001440750575323066
ANDHRA PRADESH,2012,1341,1403,504,4816,3714,13389,0,25167,42974000,42517000,85491000,14.7504291,78.57002559,117094,S,0.0013696646430618427
ANDHRA PRADESH,2013,1635,1595,492,6930,4702,15084,0,30438,43329000,42901000,86230000,14.7504291,78.57002559,141863,S,0.0016451698944682826
ANDHRA PRADESH,2014,1940,1432,504,7735,3791,12731,0,28133,43676000,43277000,86953000,14.7504291,78.57002559,139221,S,0.0016011063448069646
ARUNACHAL PRADESH,2001,33,55,0,78,3,11,0,180,580000,518000,1098000,27.10039878,93.61660071,1477,NE,0.0013451730418943533
ARUNACHAL PRADESH,2002,38,38,0,68,2,13,0,159,587000,525000,1112000,27.10039878,93.61660071,1335,NE,0.0012005395683453237
ARUNACHAL PRADESH,2003,31,51,0,43,0,14,0,139,595000,532000,1127000,27.10039878,93.61660071,1232,NE,0.001093167701863354
ARUNACHAL PRADESH,2004,42,41,0,61,0,4,0,148,602000,539000,1141000,27.10039878,93.61660071,1357,NE,0.001189307624890447
ARUNACHAL PRADESH,2005,35,39,0,67,0,9,0,150,609000,546000,1155000,27.10039878,93.61660071,1277,NE,0.0011056277056277057
ARUNACHAL PRADESH,2006,37,51,1,63,2,14,0,168,617000,553000,1170000,27.10039878,93.61660071,1443,NE,0.0012333333333333332
ARUNACHAL PRADESH,2007,48,44,0,72,1,20,0,185,624000,560000,1184000,27.10039878,93.61660071,1583,NE,0.0013369932432432433
ARUNACHAL PRADESH,2008,42,47,0,72,1,13,0,175,631000,567000,1198000,27.10039878,93.61660071,1502,NE,0.0012537562604340567
ARUNACHAL PRADESH,2009,59,28,0,58,6,13,0,164,639000,573000,1212000,27.10039878,93.61660071,1512,NE,0.0012475247524752475
ARUNACHAL PRADESH,2010,47,46,0,84,1,12,0,190,646000,580000,1226000,27.10039878,93.61660071,1624,NE,0.0013246329526916802
ARUNACHAL PRADESH,2011,42,60,0,51,0,18,0,171,654000,587000,1241000,27.10039878,93.61660071,1539,NE,0.0012401289282836423
ARUNACHAL PRADESH,2012,46,58,1,67,2,26,0,200,661000,594000,1255000,27.10039878,93.61660071,1704,NE,0.001357768924302789
ARUNACHAL PRADESH,2013,75,86,0,93,3,29,0,286,668000,601000,1269000,27.10039878,93.61660071,2546,NE,0.0020063041765169425
ARUNACHAL PRADESH,2014,83,91,1,121,3,42,0,341,676000,608000,1284000,27.10039878,93.61660071,2910,NE,0.0022663551401869157
ASSAM,2001,817,1070,59,850,4,1248,0,4048,13777000,12878000,26655000,26.7499809,94.21666744,31846,NE,0.0011947477021196774
ASSAM,2002,970,1276,70,984,7,1694,0,5001,13981000,13090000,27071000,26.7499809,94.21666744,38383,NE,0.00141786413505227
ASSAM,2003,1095,1351,60,878,6,1808,0,5198,14181000,13298000,27479000,26.7499809,94.21666744,40667,NE,0.0014799301284617345
ASSAM,2004,1171,1552,74,883,11,1945,0,5636,14377000,13501000,27878000,26.7499809,94.21666744,44478,NE,0.0015954516105889948
ASSAM,2005,1238,1456,99,899,19,2206,3,5920,14571000,13702000,28273000,26.7499809,94.21666744,45815,NE,0.0016204506065857886
ASSAM,2006,1244,1544,105,1290,10,2548,0,6741,14763000,13902000,28665000,26.7499809,94.21666744,49799,NE,0.0017372754229897087
ASSAM,2007,1437,1471,100,789,10,3000,0,6807,14654000,14099000,28753000,26.7499809,94.21666744,50740,NE,0.001764685424129656
ASSAM,2008,1438,1789,103,1272,2,3478,0,8082,15141000,14204000,29345000,26.7499809,94.21666744,57805,NE,0.001969841540296473
ASSAM,2009,1631,2092,170,1342,10,4398,1,9644,15327000,14486000,29813000,26.7499809,94.21666744,67879,NE,0.002276825545902794
ASSAM,2010,1721,2767,175,1400,20,5410,0,11493,15512000,14678000,30190000,26.7499809,94.21666744,79400,NE,0.0026300099370652535
ASSAM,2011,1700,3192,121,1193,8,5246,2,11462,15698000,14870000,30568000,26.7499809,94.21666744,80982,NE,0.0026492410363779116
ASSAM,2012,1716,3360,140,1840,5,6407,2,13470,15883000,15061000,30944000,26.7499809,94.21666744,89896,NE,0.00290511892450879
ASSAM,2013,1937,4222,170,2409,14,8636,2,17390,16068000,15251000,31319000,26.7499809,94.21666744,111840,NE,0.00357099524250455
ASSAM,2014,1980,3895,188,3099,1,9626,1,18790,16252000,15441000,31693000,26.7499809,94.21666744,115856,NE,0.0036555706307386487
BIHAR,2001,888,518,859,562,21,1558,83,4489,43244000,39755000,82999000,25.78541445,87.4799727,39762,E,0.0004790660128435282
BIHAR,2002,1040,744,927,621,6,1577,38,4953,44065000,40548000,84613000,25.78541445,87.4799727,45179,E,0.0005339486840083675
BIHAR,2003,985,674,909,688,11,1880,37,5184,44867000,41328000,86195000,25.78541445,87.4799727,44633,E,0.0005178142583676548
BIHAR,2004,1390,997,1029,704,13,2679,35,6847,45651000,42094000,87745000,25.78541445,87.4799727,58201,E,0.0006632970539631888
BIHAR,2005,1147,929,1014,451,13,1574,74,5202,43417000,42847000,86264000,25.78541445,87.4799727,49461,E,0.000573367801168506
BIHAR,2006,1232,1084,1188,530,53,1689,42,5818,47165000,43586000,90751000,25.78541445,87.4799727,55436,E,0.0006108582825533603
BIHAR,2007,1555,1260,1172,853,12,1635,56,6543,47896000,44312000,92208000,25.78541445,87.4799727,63271,E,0.0006861769043900746
BIHAR,2008,1302,1789,1210,999,21,1992,22,7335,48608000,45025000,93633000,25.78541445,87.4799727,66824,E,0.0007136800059807974
BIHAR,2009,929,1986,1295,726,12,2532,31,7511,49303000,45724000,95027000,25.78541445,87.4799727,64792,E,0.0006818272701442748
BIHAR,2010,795,2569,1257,534,16,2271,8,7450,49980000,46409000,96389000,25.78541445,87.4799727,66081,E,0.0006855657803276307
BIHAR,2011,934,3050,1413,790,11,2607,10,8815,50640000,47080000,97720000,25.78541445,87.4799727,77609,E,0.0007941977077363896
BIHAR,2012,927,3789,1275,118,37,3686,4,9836,51282000,47738000,99020000,25.78541445,87.4799727,82719,E,0.0008353766915774591
BIHAR,2013,1128,4419,1182,331,52,4533,7,11652,51906000,48382000,100288000,25.78541445,87.4799727,94320,E,0.0009404913848117422
BIHAR,2014,1127,4735,1373,572,69,4672,5,12553,52514000,49012000,101526000,25.78541445,87.4799727,101983,E,0.0010045013100092588
CHHATTISGARH,2001,959,171,70,1763,161,840,0,3964,10474000,10360000,20834000,22.09042035,82.15998734,28963,E,0.0013901795142555438
CHHATTISGARH,2002,992,154,85,1483,147,653,0,3514,10653000,10544000,21197000,22.09042035,82.15998734,27510,E,0.0012978251639382931
CHHATTISGARH,2003,898,149,79,1481,105,601,0,3313,10829000,10725000,21554000,22.09042035,82.15998734,25668,E,0.001190869444186694
CHHATTISGARH,2004,969,174,71,1661,131,741,0,3747,11002000,10902000,21904000,22.09042035,82.15998734,28261,E,0.0012902209642074508
CHHATTISGARH,2005,990,184,100,1450,132,732,0,3588,11174000,11076000,22250000,22.09042035,82.15998734,28032,E,0.001259865168539326
CHHATTISGARH,2006,995,178,103,1598,143,717,1,3735,11345000,11249000,22594000,22.09042035,82.15998734,28830,E,0.001276002478534124
CHHATTISGARH,2007,982,181,100,1549,111,824,0,3747,11514000,11419000,22933000,22.09042035,82.15998734,28590,E,0.001246675097021759
CHHATTISGARH,2008,978,216,106,1621,125,897,0,3943,11682000,11587000,23269000,22.09042035,82.15998734,29591,E,0.0012716919506639735
CHHATTISGARH,2009,976,229,128,1598,152,893,0,3976,11848000,11753000,23601000,22.09042035,82.15998734,29975,E,0.0012700733019787298
CHHATTISGARH,2010,1012,279,115,1706,182,861,2,4157,12013000,11917000,23930000,22.09042035,82.15998734,31374,E,0.0013110739657333891
CHHATTISGARH,2011,1053,365,104,1654,174,834,2,4186,12177000,12081000,24258000,22.09042035,82.15998734,32319,E,0.0013323027454860252
CHHATTISGARH,2012,1034,350,81,1601,162,980,0,4208,12341000,12244000,24585000,22.09042035,82.15998734,31656,E,0.001287614399023795
CHHATTISGARH,2013,1380,1881,109,2261,180,1181,1,6993,12503000,12406000,24909000,22.09042035,82.15998734,56543,E,0.0022699827371632742
CHHATTISGARH,2014,1436,1393,128,2122,79,964,0,6122,12665000,12567000,25232000,22.09042035,82.15998734,51129,E,0.002026355421686747
GOA,2001,12,6,2,17,7,11,0,55,687000,660000,1347000,15.491997,73.81800065,409,W,0.000303637713437268
GOA,2002,12,5,2,18,6,8,0,51,695000,658000,1353000,15.491997,73.81800065,392,W,0.00028972653362897263
GOA,2003,31,13,2,19,7,24,0,96,710000,666000,1376000,15.491997,73.81800065,813,W,0.0005908430232558139
GOA,2004,37,10,2,23,15,17,0,104,730000,680000,1410000,15.491997,73.81800065,896,W,0.0006354609929078015
GOA,2005,20,12,2,30,8,11,0,83,752000,697000,1449000,15.491997,73.81800065,657,W,0.000453416149068323
GOA,2006,21,10,0,18,7,14,0,70,776000,716000,1492000,15.491997,73.81800065,568,W,0.0003806970509383378
GOA,2007,20,7,2,20,7,14,0,70,802000,737000,1539000,15.491997,73.81800065,563,W,0.0003658219623131904
GOA,2008,30,28,2,32,12,12,0,116,832000,763000,1595000,15.491997,73.81800065,992,W,0.0006219435736677116
GOA,2009,47,22,3,37,10,21,0,140,864000,791000,1655000,15.491997,73.81800065,1248,W,0.0007540785498489426
GOA,2010,36,18,1,36,16,17,0,124,896000,818000,1714000,15.491997,73.81800065,1014,W,0.0005915985997666278
GOA,2011,29,17,1,29,12,18,0,106,926000,841000,1767000,15.491997,73.81800065,855,W,0.0004838709677419355
GOA,2012,55,16,0,49,16,24,0,160,956000,862000,1818000,15.491997,73.81800065,1350,W,0.0007425742574257426
GOA,2013,86,70,0,162,54,40,0,412,986000,882000,1868000,15.491997,73.81800065,3082,W,0.0016498929336188437
GOA,2014,95,86,0,202,57,35,0,475,1015000,900000,1915000,15.491997,73.81800065,3571,W,0.0018647519582245431
GUJARAT,2001,286,857,67,756,111,3667,0,5744,26386000,24285000,50671000,22.2587,71.1924,28979,W,0.0005719050344378441
GUJARAT,2002,267,807,62,750,104,3321,0,5311,26872000,24684000,51556000,22.2587,71.1924,27030,W,0.0005242842734114361
GUJARAT,2003,236,859,54,722,92,3684,0,5647,27352000,25076000,52428000,22.2587,71.1924,27878,W,0.0005317387655451285
GUJARAT,2004,339,905,58,757,164,3955,0,6178,27827000,25463000,53290000,22.2587,71.1924,31147,W,0.0005844811409270032
GUJARAT,2005,324,916,48,802,104,4090,0,6284,28296000,25844000,54140000,22.2587,71.1924,31332,W,0.0005787218322866642
GUJARAT,2006,354,945,50,736,138,4977,0,7200,28760000,26220000,54980000,22.2587,71.1924,34535,W,0.000628137504547108
GUJARAT,2007,316,1089,42,822,120,5827,0,8216,29219000,26509000,55728000,22.2587,71.1924,38211,W,0.0006856696813092162
GUJARAT,2008,374,1119,27,828,122,6094,0,8564,29672000,26954000,56626000,22.2587,71.1924,39993,W,0.0007062656730123971
GUJARAT,2009,433,1162,24,727,114,5506,0,7966,30121000,27313000,57434000,22.2587,71.1924,38970,W,0.000678517951039454
GUJARAT,2010,408,1290,19,668,110,5600,0,8095,30565000,27667000,58232000,22.2587,71.1924,39775,W,0.0006830436873196868
GUJARAT,2011,439,1442,30,685,93,6052,0,8741,31005000,28016000,59021000,22.2587,71.1924,43315,W,0.0007338913268158791
GUJARAT,2012,473,1527,21,745,93,6658,0,9517,31440000,28359000,59799000,22.2587,71.1924,46658,W,0.000780247161323768
GUJARAT,2013,732,2230,29,1243,77,7812,0,12123,31871000,28698000,60569000,22.2587,71.1924,63597,W,0.0010499925704568344
GUJARAT,2014,841,2187,23,1352,173,5991,0,10567,32298000,29032000,61330000,22.2587,71.1924,60082,W,0.0009796510679928258
HARYANA,2001,398,297,285,478,401,1513,0,3372,11364000,9781000,21145000,28.45000633,77.01999101,21347,N,0.001009553085835895
HARYANA,2002,361,290,256,454,1424,1565,0,4350,11605000,9975000,21580000,28.45000633,77.01999101,23392,N,0.0010839666357738648
HARYANA,2003,353,271,222,344,1302,1618,0,4110,11846000,10169000,22015000,28.45000633,77.01999101,21815,N,0.0009909152850329321
HARYANA,2004,386,292,251,403,850,2026,0,4208,12088000,10362000,22450000,28.45000633,77.01999101,23118,N,0.0010297550111358575
HARYANA,2005,461,344,212,380,597,2075,0,4069,12329000,10555000,22884000,28.45000633,77.01999101,23451,N,0.0010247771368641846
HARYANA,2006,608,431,255,486,491,2254,0,4525,12568000,10746000,23314000,28.45000633,77.01999101,27920,N,0.001197563695633525
HARYANA,2007,488,554,269,417,409,2412,0,4549,12807000,10936000,23743000,28.45000633,77.01999101,27443,N,0.0011558354041191089
HARYANA,2008,631,644,302,435,605,2435,0,5052,13046000,11125000,24171000,28.45000633,77.01999101,31730,N,0.0013127301311488975
HARYANA,2009,603,659,281,451,605,2617,0,5216,13284000,11313000,24597000,28.45000633,77.01999101,31771,N,0.0012916615847461072
HARYANA,2010,720,714,284,476,580,2720,0,5494,13520000,11500000,25020000,28.45000633,77.01999101,34480,N,0.0013780975219824141
HARYANA,2011,733,733,255,474,490,2740,0,5425,13754000,11685000,25439000,28.45000633,77.01999101,34210,N,0.0013447855654703407
HARYANA,2012,668,900,258,525,434,3137,0,5922,13985000,11869000,25854000,28.45000633,77.01999101,36228,N,0.0014012531909955905
HARYANA,2013,971,1957,263,1560,643,3617,2,9013,14216000,12051000,26267000,28.45000633,77.01999101,58680,N,0.0022339818022613926
HARYANA,2014,1174,1922,293,1688,102,3478,0,8657,14444000,12231000,26675000,28.45000633,77.01999101,60405,N,0.0022644798500468604
HIMACHAL PRADESH,2001,124,105,10,310,14,317,0,880,3088000,2990000,6078000,31.10002545,77.16659704,5603,N,0.0009218492925304377
HIMACHAL PRADESH,2002,137,116,6,326,12,234,0,831,313000,3027000,3030000,31.10002545,77.16659704,5673,N,0.0018722772277227724
HIMACHAL PRADESH,2003,126,96,6,250,18,221,0,717,3171000,3063000,6234000,31.10002545,77.16659704,4907,N,0.000787135065768367
HIMACHAL PRADESH,2004,153,99,8,284,16,252,0,812,3211000,3098000,6309000,31.10002545,77.16659704,5629,N,0.0008922174671104771
HIMACHAL PRADESH,2005,141,102,2,286,29,228,0,788,3250000,3132000,6382000,31.10002545,77.16659704,5366,N,0.0008408022563459731
HIMACHAL PRADESH,2006,113,109,3,275,31,259,0,790,3289000,3166000,6455000,31.10002545,77.16659704,5075,N,0.0007862122385747483
HIMACHAL PRADESH,2007,159,150,8,322,33,342,0,1014,3327000,3199000,6526000,31.10002545,77.16659704,6740,N,0.0010327919092859331
HIMACHAL PRADESH,2008,157,137,3,295,41,343,0,976,3364000,3231000,6595000,31.10002545,77.16659704,6397,N,0.0009699772554965883
HIMACHAL PRADESH,2009,183,122,1,318,37,284,0,945,3400000,3262000,6662000,31.10002545,77.16659704,6533,N,0.0009806364455118583
HIMACHAL PRADESH,2010,160,162,2,350,78,275,0,1027,3436000,3293000,6729000,31.10002545,77.16659704,6859,N,0.0010193193639470948
HIMACHAL PRADESH,2011,168,191,4,331,62,239,0,995,3471000,3322000,6793000,31.10002545,77.16659704,7048,N,0.0010375386427204476
HIMACHAL PRADESH,2012,183,152,2,250,68,251,0,906,3505000,3351000,6856000,31.10002545,77.16659704,6502,N,0.0009483663943990665
HIMACHAL PRADESH,2013,250,290,0,493,111,328,0,1472,3539000,3380000,6919000,31.10002545,77.16659704,10432,N,0.001507732331261743
HIMACHAL PRADESH,2014,283,227,1,538,60,325,0,1434,3571000,3407000,6978000,31.10002545,77.16659704,10375,N,0.0014868157065061622
JAMMU & KASHMIR,2001,169,504,13,622,288,50,0,1646,5361000,4783000,10144000,34.29995933,74.46665849,11894,N,0.0011725157728706625
JAMMU & KASHMIR,2002,192,596,18,785,368,54,0,2013,5436000,4862000,10298000,34.29995933,74.46665849,14301,N,0.0013887162555836084
JAMMU & KASHMIR,2003,211,615,10,875,376,71,0,2158,5518000,4943000,10461000,34.29995933,74.46665849,15181,N,0.0014511996941019023
JAMMU & KASHMIR,2004,218,632,9,990,264,82,0,2195,5598000,5024000,10622000,34.29995933,74.46665849,15713,N,0.0014792882696290717
JAMMU & KASHMIR,2005,201,658,5,830,371,76,0,2141,5678000,5105000,10783000,34.29995933,74.46665849,15161,N,0.001406009459334137
JAMMU & KASHMIR,2006,250,723,10,960,347,135,0,2425,5756000,5185000,10941000,34.29995933,74.46665849,17376,N,0.0015881546476556074
JAMMU & KASHMIR,2007,288,707,9,986,353,176,0,2519,5834000,5265000,11099000,34.29995933,74.46665849,18042,N,0.0016255518515181549
JAMMU & KASHMIR,2008,219,656,21,935,296,162,0,2289,5912000,5345000,11257000,34.29995933,74.46665849,16209,N,0.001439904059696189
JAMMU & KASHMIR,2009,237,825,12,972,371,196,0,2613,5990000,5424000,11414000,34.29995933,74.46665849,18546,N,0.0016248466795163834
JAMMU & KASHMIR,2010,245,840,9,1038,262,211,0,2605,6066000,5502000,11568000,34.29995933,74.46665849,18819,N,0.0016268153526970955
JAMMU & KASHMIR,2011,277,1023,11,1194,350,286,0,3141,6139000,5579000,11718000,34.29995933,74.46665849,22428,N,0.0019139784946236558
JAMMU & KASHMIR,2012,303,1041,8,1322,347,301,0,3322,6211000,5654000,11865000,34.29995933,74.46665849,23629,N,0.001991487568478719
JAMMU & KASHMIR,2013,378,949,7,1389,354,428,0,3505,6282000,5728000,12010000,34.29995933,74.46665849,24556,N,0.002044629475437136
JAMMU & KASHMIR,2014,331,813,5,1421,237,467,0,3274,6350000,5801000,12151000,34.29995933,74.46665849,22387,N,0.0018423998024853921
JHARKHAND,2001,567,279,217,297,5,484,2,1851,13885000,13061000,26946000,23.80039349,86.41998572,17522,E,0.0006502634899428487
JHARKHAND,2002,797,178,275,411,3,588,36,2288,14139000,13304000,27443000,23.80039349,86.41998572,22048,E,0.0008034107058266225
JHARKHAND,2003,712,262,262,424,2,559,0,2221,14384000,13538000,27922000,23.80039349,86.41998572,21033,E,0.0007532769858892629
JHARKHAND,2004,797,178,275,411,3,588,36,2288,14622000,13766000,28388000,23.80039349,86.41998572,22048,E,0.0007766661969846413
JHARKHAND,2005,753,283,257,293,36,590,4,2216,14856000,13990000,28846000,23.80039349,86.41998572,21363,E,0.000740587949802399
JHARKHAND,2006,799,410,281,414,44,668,5,2621,15088000,14211000,29299000,23.80039349,86.41998572,24556,E,0.0008381173418888017
JHARKHAND,2007,855,534,303,342,15,801,0,2850,15316000,14429000,29745000,23.80039349,86.41998572,26868,E,0.0009032778618255168
JHARKHAND,2008,791,499,266,271,23,851,39,2740,15539000,14642000,30181000,23.80039349,86.41998572,25212,E,0.0008353599946986515
JHARKHAND,2009,719,517,295,276,83,710,6,2606,15759000,14852000,30611000,23.80039349,86.41998572,24199,E,0.0007905328150011433
JHARKHAND,2010,773,696,276,245,16,650,8,2664,15978000,15062000,31040000,23.80039349,86.41998572,25998,E,0.0008375644329896907
JHARKHAND,2011,784,660,282,317,7,659,6,2715,16198000,15274000,31472000,23.80039349,86.41998572,26233,E,0.0008335345704117947
JHARKHAND,2012,812,786,302,284,10,1261,3,3458,16418000,15486000,31904000,23.80039349,86.41998572,29833,E,0.0009350865095285858
JHARKHAND,2013,1204,926,307,524,18,2084,2,5065,16636000,15698000,32334000,23.80039349,86.41998572,40871,E,0.0012640254840106389
JHARKHAND,2014,1050,885,350,440,18,1462,2,4207,16855000,15910000,32765000,23.80039349,86.41998572,36510,E,0.0011142987944452922
KARNATAKA,2001,293,271,220,1665,81,1755,0,4285,26899000,25952000,52851000,12.57038129,76.91999711,24238,S,0.00045861005468203063
KARNATAKA,2002,292,300,233,1648,100,1826,0,4399,27243000,26312000,53555000,12.57038129,76.91999711,24893,S,0.0004648118756418635
