STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes,Males,Females,Persons
ANDHRA PRADESH,TOTAL,2001,871,765,420,3544,2271,5791,7,13669,38527000,37683000,76210000
ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0,180,580000,518000,1098000
ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0,4048,13777000,12878000,26655000
BIHAR,TOTAL,2001,888,518,859,562,21,1558,83,4489,43244000,39755000,82999000
CHHATTISGARH,TOTAL,2001,959,171,70,1763,161,840,0,3964,10474000,10360000,20834000
GOA,TOTAL,2001,12,6,2,17,7,11,0,55,687000,660000,1347000
GUJARAT,TOTAL,2001,286,857,67,756,111,3667,0,5744,26386000,24285000,50671000
HARYANA,TOTAL,2001,398,297,285,478,401,1513,0,3372,11364000,9781000,21145000
HIMACHAL PRADESH,TOTAL,2001,124,105,10,310,14,317,0,880,3088000,2990000,6078000
JAMMU & KASHMIR,TOTAL,2001,169,504,13,622,288,50,0,1646,5361000,4783000,10144000
JHARKHAND,TOTAL,2001,567,279,217,297,5,484,2,1851,13885000,13061000,26946000
KARNATAKA,TOTAL,2001,293,271,220,1665,81,1755,0,4285,26899000,25952000,52851000
KERALA,TOTAL,2001,562,97,27,1942,81,2561,0,5270,15469000,16373000,31842000
MADHYA PRADESH,TOTAL,2001,2851,668,609,7063,751,2562,0,14504,31444000,28904000,60348000
MAHARASHTRA,TOTAL,2001,1302,611,308,2823,1120,6090,1,12255,50401000,46478000,96879000
MANIPUR,TOTAL,2001,20,62,0,21,0,5,0,108,1096000,1071000,2167000
MEGHALAYA,TOTAL,2001,26,11,0,25,0,4,0,66,1176000,1143000,2319000
MIZORAM,TOTAL,2001,52,1,0,52,0,16,3,124,459000,429000,888000
NAGALAND,TOTAL,2001,17,6,0,6,0,0,0,29,1047000,943000,1990000
ODISHA,TOTAL,2001,790,434,294,1655,458,1266,0,4897,18661000,18144000,36805000
PUNJAB,TOTAL,2001,298,324,159,372,47,1128,0,2328,12985000,11374000,24359000
RAJASTHAN,TOTAL,2001,1049,2165,376,2878,56,5532,1,12057,29420000,27087000,56507000
SIKKIM,TOTAL,2001,8,2,0,0,14,0,0,24,288000,252000,540000
TAMIL NADU,TOTAL,2001,423,607,191,1773,1012,815,14,4835,31401000,31005000,62406000
TRIPURA,TOTAL,2001,102,35,16,58,0,227,0,438,1642000,1557000,3199000
UTTAR PRADESH,TOTAL,2001,1958,2879,2211,2870,2575,7365,0,19858,87565000,78633000,166198000
UTTARAKHAND,TOTAL,2001,74,126,56,103,84,301,0,744,4326000,4163000,8489000
WEST BENGAL,TOTAL,2001,709,695,265,954,48,3859,3,6533,41466000,38710000,80176000
A & N ISLANDS,TOTAL,2001,3,2,0,19,1,9,0,34,193000,163000,356000
CHANDIGARH,TOTAL,2001,18,50,3,24,15,36,0,146,507000,394000,901000
D & N HAVELI,TOTAL,2001,6,2,0,7,0,4,0,19,122000,99000,221000
DAMAN & DIU,TOTAL,2001,0,3,0,0,0,4,0,7,93000,66000,159000
LAKSHADWEEP,TOTAL,2001,0,0,0,0,0,0,0,0,31000,30000,61000
PUDUCHERRY,TOTAL,2001,9,3,1,35,27,3,0,78,487000,487000,974000
ANDHRA PRADESH,TOTAL,2002,1002,854,449,3799,2024,7018,0,15146,38976000,38179000,77155000
ARUNACHAL PRADESH,TOTAL,2002,38,38,0,68,2,13,0,159,587000,525000,1112000
ASSAM,TOTAL,2002,970,1276,70,984,7,1694,0,5001,13981000,13090000,27071000
BIHAR,TOTAL,2002,1040,744,927,621,6,1577,38,4953,44065000,40548000,84613000
CHHATTISGARH,TOTAL,2002,992,154,85,1483,147,653,0,3514,10653000,10544000,21197000
GOA,TOTAL,2002,12,5,2,18,6,8,0,51,695000,658000,1353000
GUJARAT,TOTAL,2002,267,807,62,750,104,3321,0,5311,26872000,24684000,51556000
HARYANA,TOTAL,2002,361,290,256,454,1424,1565,0,4350,11605000,9975000,21580000
HIMACHAL PRADESH,TOTAL,2002,137,116,6,326,12,234,0,831,313000,3027000,3030000
JAMMU & KASHMIR,TOTAL,2002,192,596,18,785,368,54,0,2013,5436000,4862000,10298000
JHARKHAND,TOTAL,2002,797,178,275,411,3,588,36,2288,14139000,13304000,27443000
KARNATAKA,TOTAL,2002,292,300,233,1648,100,1826,0,4399,27243000,26312000,53555000
KERALA,TOTAL,2002,499,91,17,2123,102,2836,0,5668,15615000,16517000,32132000
MADHYA PRADESH,TOTAL,2002,2891,639,674,7118,783,3117,0,15222,32091000,29490000,61581000
MAHARASHTRA,TOTAL,2002,1352,650,303,2686,769,5353,0,11113,51231000,47214000,98445000
MANIPUR,TOTAL,2002,14,82,0,58,0,10,0,164,1109000,1086000,2195000
MEGHALAYA,TOTAL,2002,38,10,0,23,0,0,0,71,1191000,1158000,2349000
MIZORAM,TOTAL,2002,76,2,0,73,0,3,0,154,465000,435000,900000
NAGALAND,TOTAL,2002,17,4,0,1,0,0,0,22,1060000,956000,2016000
ODISHA,TOTAL,2002,691,432,248,1605,188,1167,0,4331,18879000,18365000,37244000
PUNJAB,TOTAL,2002,299,354,166,341,145,944,0,2249,13179000,11520000,24699000
RAJASTHAN,TOTAL,2002,1051,2019,399,2730,44,5691,0,11934,30031000,27633000,57664000
SIKKIM,TOTAL,2002,6,2,0,17,0,3,0,28,292000,255000,547000
TAMIL NADU,TOTAL,2002,534,714,243,1877,1718,1052,0,6138,31685000,31304000,62989000
TRIPURA,TOTAL,2002,108,48,16,128,0,236,0,536,1663000,1587000,3250000
UTTAR PRADESH,TOTAL,2002,1415,2298,1893,2145,1887,5679,0,15317,89337000,80211000,169548000
UTTARAKHAND,TOTAL,2002,89,155,66,145,97,316,1,869,4400000,4234000,8634000
WEST BENGAL,TOTAL,2002,759,694,273,964,34,4069,1,6794,42009000,39269000,81278000
A & N ISLANDS,TOTAL,2002,2,1,0,17,3,4,0,27,201000,165000,366000
CHANDIGARH,TOTAL,2002,18,47,1,36,28,56,0,186,523000,400000,923000
D & N HAVELI,TOTAL,2002,4,5,0,3,0,3,0,15,128000,94000,222000
DAMAN & DIU,TOTAL,2002,0,2,0,0,0,3,0,5,100000,71000,171000
LAKSHADWEEP,TOTAL,2002,1,0,0,1,0,0,0,2,32000,32000,64000
PUDUCHERRY,TOTAL,2002,6,6,5,59,26,9,0,111,484000,489000,973000
ANDHRA PRADESH,TOTAL,2003,946,931,466,4128,2286,8167,5,16929,39414000,38660000,78074000
ARUNACHAL PRADESH,TOTAL,2003,31,51,0,43,0,14,0,139,595000,532000,1127000
ASSAM,TOTAL,2003,1095,1351,60,878,6,1808,0,5198,14181000,13298000,27479000
BIHAR,TOTAL,2003,985,674,909,688,11,1880,37,5184,44867000,41328000,86195000
CHHATTISGARH,TOTAL,2003,898,149,79,1481,105,601,0,3313,10829000,10725000,21554000
GOA,TOTAL,2003,31,13,2,19,7,24,0,96,710000,666000,1376000
GUJARAT,TOTAL,2003,236,859,54,722,92,3684,0,5647,27352000,25076000,52428000
HARYANA,TOTAL,2003,353,271,222,344,1302,1618,0,4110,11846000,10169000,22015000
HIMACHAL PRADESH,TOTAL,2003,126,96,6,250,18,221,0,717,3171000,3063000,6234000
JAMMU & KASHMIR,TOTAL,2003,211,615,10,875,376,71,0,2158,5518000,4943000,10461000
JHARKHAND,TOTAL,2003,712,262,262,424,2,559,0,2221,14384000,13538000,27922000
KARNATAKA,TOTAL,2003,321,244,194,1585,84,1704,0,4132,27582000,26664000,54246000
KERALA,TOTAL,2003,394,102,33,1947,68,2930,0,5474,15761000,16660000,32421000
MADHYA PRADESH,TOTAL,2003,2738,608,648,6848,705,2938,0,14485,32731000,30069000,62800000
MAHARASHTRA,TOTAL,2003,1268,626,368,2661,682,5452,0,11057,52074000,47956000,100030000
MANIPUR,TOTAL,2003,18,71,0,44,0,4,0,137,1123000,1100000,2223000
MEGHALAYA,TOTAL,2003,40,10,0,13,1,4,0,68,1206000,1173000,2379000
MIZORAM,TOTAL,2003,54,2,0,88,0,3,0,147,471000,441000,912000
NAGALAND,TOTAL,2003,14,3,0,4,2,0,1,24,1074000,968000,2042000
ODISHA,TOTAL,2003,725,373,279,1669,188,1289,0,4523,19091000,18580000,37671000
PUNJAB,TOTAL,2003,380,295,110,346,199,987,0,2317,13374000,11667000,25041000
RAJASTHAN,TOTAL,2003,1050,1750,389,2715,33,5733,1,11671,30644000,28181000,58825000
SIKKIM,TOTAL,2003,10,0,0,25,0,1,0,36,296000,259000,555000
TAMIL NADU,TOTAL,2003,557,632,220,2022,881,1555,1,5868,31959000,31593000,63552000
TRIPURA,TOTAL,2003,114,29,20,127,0,247,0,537,1684000,1599000,3283000
UTTAR PRADESH,TOTAL,2003,911,1499,1322,1098,4970,2626,0,12426,91132000,81812000,172944000
UTTARAKHAND,TOTAL,2003,107,134,93,136,98,317,0,885,4474000,4306000,8780000
WEST BENGAL,TOTAL,2003,1002,801,329,1186,71,4948,1,8338,42523000,39798000,82321000
A & N ISLANDS,TOTAL,2003,2,2,0,9,2,7,0,22,209000,169000,378000
CHANDIGARH,TOTAL,2003,18,28,1,11,4,93,0,155,544000,412000,956000
D & N HAVELI,TOTAL,2003,1,4,0,4,0,2,0,11,135000,94000,229000
DAMAN & DIU,TOTAL,2003,5,1,1,3,0,0,0,10,107000,75000,182000
LAKSHADWEEP,TOTAL,2003,2,0,0,1,0,1,0,4,34000,33000,67000
PUDUCHERRY,TOTAL,2003,2,13,1,56,27,4,0,103,492000,498000,990000
ANDHRA PRADESH,TOTAL,2004,1016,1030,512,3817,2310,8388,2,17075,39844000,39129000,78973000
ARUNACHAL PRADESH,TOTAL,2004,42,41,0,61,0,4,0,148,602000,539000,1141000
ASSAM,TOTAL,2004,1171,1552,74,883,11,1945,0,5636,14377000,13501000,27878000
BIHAR,TOTAL,2004,1390,997,1029,704,13,2679,35,6847,45651000,42094000,87745000
CHHATTISGARH,TOTAL,2004,969,174,71,1661,131,741,0,3747,11002000,10902000,21904000
GOA,TOTAL,2004,37,10,2,23,15,17,0,104,730000,680000,1410000
GUJARAT,TOTAL,2004,339,905,58,757,164,3955,0,6178,27827000,25463000,53290000
HARYANA,TOTAL,2004,386,292,251,403,850,2026,0,4208,12088000,10362000,22450000
HIMACHAL PRADESH,TOTAL,2004,153,99,8,284,16,252,0,812,3211000,3098000,6309000
JAMMU & KASHMIR,TOTAL,2004,218,632,9,990,264,82,0,2195,5598000,5024000,10622000
JHARKHAND,TOTAL,2004,797,178,275,411,3,588,36,2288,14622000,13766000,28388000
KARNATAKA,TOTAL,2004,291,286,259,1435,57,1588,0,3916,27916000,27010000,54926000
KERALA,TOTAL,2004,480,142,31,2260,133,3222,0,6268,15907000,16801000,32708000
MADHYA PRADESH,TOTAL,2004,2875,584,751,6690,804,3436,0,15140,33364000,30641000,64005000
MAHARASHTRA,TOTAL,2004,1388,787,314,2831,862,5646,0,11828,52923000,48701000,101624000
MANIPUR,TOTAL,2004,31,71,0,30,0,2,0,134,1137000,1114000,2251000
MEGHALAYA,TOTAL,2004,54,18,2,34,0,5,0,113,1221000,1189000,2410000
MIZORAM,TOTAL,2004,20,0,0,66,0,0,0,86,477000,447000,924000
NAGALAND,TOTAL,2004,18,4,0,3,1,0,0,26,1087000,981000,2068000
ODISHA,TOTAL,2004,770,423,319,1811,170,1192,0,4685,19296000,18789000,38085000
PUNJAB,TOTAL,2004,390,311,113,261,38,801,0,1914,13570000,11814000,25384000
RAJASTHAN,TOTAL,2004,1038,1881,379,2825,41,6781,1,12946,31256000,28728000,59984000
SIKKIM,TOTAL,2004,3,4,0,40,0,1,0,48,299000,262000,561000
TAMIL NADU,TOTAL,2004,618,692,225,1861,1081,1437,0,5914,32224000,31872000,64096000
TRIPURA,TOTAL,2004,160,54,20,134,0,302,0,670,1705000,1620000,3325000
UTTAR PRADESH,TOTAL,2004,1397,2324,1708,1900,2682,4950,3,14964,92943000,83431000,176374000
UTTARAKHAND,TOTAL,2004,115,127,82,143,110,405,0,982,4549000,4377000,8926000
WEST BENGAL,TOTAL,2004,1475,1018,396,1566,64,6334,12,10865,43013000,40303000,83316000
A & N ISLANDS,TOTAL,2004,10,3,0,6,3,5,0,27,217000,174000,391000
CHANDIGARH,TOTAL,2004,19,43,6,20,18,73,0,179,571000,430000,1001000
D & N HAVELI,TOTAL,2004,7,7,0,5,0,3,0,22,142000,97000,239000
DAMAN & DIU,TOTAL,2004,1,0,0,1,0,4,0,6,115000,79000,194000
LAKSHADWEEP,TOTAL,2004,0,0,0,0,0,1,0,1,34000,34000,68000
PUDUCHERRY,TOTAL,2004,4,8,6,50,30,2,0,100,507000,512000,1019000
ANDHRA PRADESH,TOTAL,2005,935,995,443,3595,2508,8696,3,17175,40264000,39587000,79851000
ARUNACHAL PRADESH,TOTAL,2005,35,39,0,67,0,9,0,150,609000,546000,1155000
ASSAM,TOTAL,2005,1238,1456,99,899,19,2206,3,5920,14571000,13702000,28273000
BIHAR,TOTAL,2005,1147,929,1014,451,13,1574,74,5202,43417000,42847000,86264000
CHHATTISGARH,TOTAL,2005,990,184,100,1450,132,732,0,3588,11174000,11076000,22250000
GOA,TOTAL,2005,20,12,2,30,8,11,0,83,752000,697000,1449000
GUJARAT,TOTAL,2005,324,916,48,802,104,4090,0,6284,28296000,25844000,54140000
HARYANA,TOTAL,2005,461,344,212,380,597,2075,0,4069,12329000,10555000,22884000
HIMACHAL PRADESH,TOTAL,2005,141,102,2,286,29,228,0,788,3250000,3132000,6382000
JAMMU & KASHMIR,TOTAL,2005,201,658,5,830,371,76,0,2141,5678000,5105000,10783000
JHARKHAND,TOTAL,2005,753,283,257,293,36,590,4,2216,14856000,13990000,28846000
KARNATAKA,TOTAL,2005,343,312,261,1585,71,1883,0,4455,28246000,27350000,55596000
KERALA,TOTAL,2005,478,129,21,2339,175,3283,0,6425,16050000,16939000,32989000
MADHYA PRADESH,TOTAL,2005,2921,604,739,6426,792,2989,3,14474,33993000,31209000,65202000
MAHARASHTRA,TOTAL,2005,1545,851,341,3228,919,6233,0,13117,53775000,49444000,103219000
MANIPUR,TOTAL,2005,25,69,0,25,0,20,0,139,1151000,1129000,2280000
MEGHALAYA,TOTAL,2005,63,19,1,44,0,3,0,130,1236000,1204000,2440000
MIZORAM,TOTAL,2005,37,0,4,49,4,0,0,94,482000,452000,934000
NAGALAND,TOTAL,2005,17,9,0,7,0,0,0,33,1100000,993000,2093000
ODISHA,TOTAL,2005,799,547,334,2238,184,1671,0,5773,19496000,18994000,38490000
PUNJAB,TOTAL,2005,398,329,99,308,43,729,0,1906,13764000,11960000,25724000
RAJASTHAN,TOTAL,2005,993,1549,361,2503,28,5997,0,11431,31864000,29272000,61136000
SIKKIM,TOTAL,2005,18,2,0,38,0,4,0,62,303000,266000,569000
TAMIL NADU,TOTAL,2005,571,783,215,1764,665,1650,0,5648,32481000,32142000,64623000
TRIPURA,TOTAL,2005,162,43,34,161,1,439,0,840,1725000,1640000,3365000
UTTAR PRADESH,TOTAL,2005,1217,2256,1564,1835,2881,4505,0,14258,94765000,85060000,179825000
UTTARAKHAND,TOTAL,2005,133,125,63,100,89,272,0,782,4624000,4449000,9073000
WEST BENGAL,TOTAL,2005,1686,1039,446,1572,54,6936,61,11794,43486000,40791000,84277000
A & N ISLANDS,TOTAL,2005,4,1,0,11,1,5,0,22,224000,181000,405000
CHANDIGARH,TOTAL,2005,33,45,3,31,9,75,0,196,600000,450000,1050000
D & N HAVELI,TOTAL,2005,5,9,0,5,0,5,0,24,150000,103000,253000
DAMAN & DIU,TOTAL,2005,2,2,1,1,0,3,0,9,123000,82000,205000
LAKSHADWEEP,TOTAL,2005,0,0,0,0,0,0,0,0,35000,35000,70000
PUDUCHERRY,TOTAL,2005,6,3,4,60,26,6,0,105,527000,529000,1056000
ANDHRA PRADESH,TOTAL,2006,1049,1329,519,4534,2411,9164,0,19006,40677000,40036000,80713000
ARUNACHAL PRADESH,TOTAL,2006,37,51,1,63,2,14,0,168,617000,553000,1170000
ASSAM,TOTAL,2006,1244,1544,105,1290,10,2548,0,6741,14763000,13902000,28665000
BIHAR,TOTAL,2006,1232,1084,1188,530,53,1689,42,5818,47165000,43586000,90751000
CHHATTISGARH,TOTAL,2006,995,178,103,1598,143,717,1,3735,11345000,11249000,22594000
GOA,TOTAL,2006,21,10,0,18,7,14,0,70,776000,716000,1492000
GUJARAT,TOTAL,2006,354,945,50,736,138,4977,0,7200,28760000,26220000,54980000
HARYANA,TOTAL,2006,608,431,255,486,491,2254,0,4525,12568000,10746000,23314000
HIMACHAL PRADESH,TOTAL,2006,113,109,3,275,31,259,0,790,3289000,3166000,6455000
JAMMU & KASHMIR,TOTAL,2006,250,723,10,960,347,135,0,2425,5756000,5185000,10941000
JHARKHAND,TOTAL,2006,799,410,281,414,44,668,5,2621,15088000,14211000,29299000
KARNATAKA,TOTAL,2006,400,328,244,1683,38,2129,0,4822,28573000,27685000,56258000
KERALA,TOTAL,2006,601,202,25,2543,222,3708,0,7301,16191000,17074000,33265000
MADHYA PRADESH,TOTAL,2006,2900,617,764,6243,762,2989,0,14275,34617000,31773000,66390000
MAHARASHTRA,TOTAL,2006,1500,921,387,3479,984,6738,1,14010,54623000,50181000,104804000
MANIPUR,TOTAL,2006,40,79,0,42,0,10,0,171,1165000,1143000,2308000
MEGHALAYA,TOTAL,2006,74,25,6,57,0,13,0,175,1251000,1219000,2470000
MIZORAM,TOTAL,2006,72,1,0,51,0,1,0,125,488000,458000,946000
NAGALAND,TOTAL,2006,23,3,0,3,2,3,0,34,1113000,1006000,2119000
ODISHA,TOTAL,2006,985,577,457,2415,247,694,12,5387,19692000,19196000,38888000
PUNJAB,TOTAL,2006,442,418,130,314,60,801,2,2167,13956000,12104000,26060000
RAJASTHAN,TOTAL,2006,1085,1553,394,2582,31,7038,3,12686,32466000,29811000,62277000
SIKKIM,TOTAL,2006,20,7,0,14,0,6,0,47,307000,269000,576000
TAMIL NADU,TOTAL,2006,457,718,187,1179,852,1248,0,4641,32730000,32405000,65135000
TRIPURA,TOTAL,2006,189,62,35,207,0,471,0,964,1746000,1661000,3407000
UTTAR PRADESH,TOTAL,2006,1314,2551,1798,2096,2714,5204,0,15677,96589000,86693000,183282000
UTTARAKHAND,TOTAL,2006,147,183,80,153,113,358,0,1034,4699000,4520000,9219000
WEST BENGAL,TOTAL,2006,1731,1199,445,1837,63,7414,1,12690,43947000,41268000,85215000
A & N ISLANDS,TOTAL,2006,6,5,0,14,4,7,0,36,231000,188000,419000
CHANDIGARH,TOTAL,2006,19,57,10,20,13,102,0,221,632000,471000,1103000
D & N HAVELI,TOTAL,2006,6,14,1,5,1,5,0,32,157000,109000,266000
DAMAN & DIU,TOTAL,2006,3,1,0,2,0,2,0,8,131000,85000,216000
LAKSHADWEEP,TOTAL,2006,0,0,0,0,0,1,0,1,36000,36000,72000
PUDUCHERRY,TOTAL,2006,9,13,3,56,39,19,0,139,551000,547000,1098000
ANDHRA PRADESH,TOTAL,2007,1070,1564,613,4406,3316,11335,0,22304,41080000,40474000,81554000
ARUNACHAL PRADESH,TOTAL,2007,48,44,0,72,1,20,0,185,624000,560000,1184000
ASSAM,TOTAL,2007,1437,1471,100,789,10,3000,0,6807,14654000,14099000,28753000
BIHAR,TOTAL,2007,1555,1260,1172,853,12,1635,56,6543,47896000,44312000,92208000
CHHATTISGARH,TOTAL,2007,982,181,100,1549,111,824,0,3747,11514000,11419000,22933000
GOA,TOTAL,2007,20,7,2,20,7,14,0,70,802000,737000,1539000
GUJARAT,TOTAL,2007,316,1089,42,822,120,5827,0,8216,29219000,26509000,55728000
HARYANA,TOTAL,2007,488,554,269,417,409,2412,0,4549,12807000,10936000,23743000
HIMACHAL PRADESH,TOTAL,2007,159,150,8,322,33,342,0,1014,3327000,3199000,6526000
JAMMU & KASHMIR,TOTAL,2007,288,707,9,986,353,176,0,2519,5834000,5265000,11099000
JHARKHAND,TOTAL,2007,855,534,303,342,15,801,0,2850,15316000,14429000,29745000
KARNATAKA,TOTAL,2007,436,390,251,1828,28,2507,0,5440,28894000,28015000,56909000
KERALA,TOTAL,2007,512,177,27,2624,262,3999,0,7601,16329000,17206000,33535000
MADHYA PRADESH,TOTAL,2007,3010,701,742,6772,780,3294,0,15299,35237000,32332000,67569000
MAHARASHTRA,TOTAL,2007,1451,967,436,3306,1039,7356,0,14555,55470000,50916000,106386000
MANIPUR,TOTAL,2007,20,83,0,70,0,15,0,188,1179000,1157000,2336000
MEGHALAYA,TOTAL,2007,82,22,2,45,1,19,0,171,1266000,1234000,2500000
MIZORAM,TOTAL,2007,83,0,0,66,0,2,0,151,494000,464000,958000
NAGALAND,TOTAL,2007,13,6,0,8,1,0,0,28,1127000,1019000,2146000
ODISHA,TOTAL,2007,939,660,461,2775,241,728,0,5804,19883000,19393000,39276000
PUNJAB,TOTAL,2007,519,545,133,427,48,971,0,2643,14146000,12245000,26391000
RAJASTHAN,TOTAL,2007,1238,1694,439,2477,28,8170,0,14046,33062000,30345000,63407000
SIKKIM,TOTAL,2007,24,9,0,13,0,7,0,53,310000,273000,583000
TAMIL NADU,TOTAL,2007,523,1097,208,1540,875,1976,0,6219,32971000,32658000,65629000
TRIPURA,TOTAL,2007,157,81,36,244,4,545,0,1067,1767000,1682000,3449000
UTTAR PRADESH,TOTAL,2007,1648,3363,2076,2522,2882,7650,0,20141,98421000,88335000,186756000
UTTARAKHAND,TOTAL,2007,117,227,70,146,63,463,0,1086,4774000,4591000,9365000
WEST BENGAL,TOTAL,2007,2106,1590,451,2281,99,9900,5,16432,44394000,41731000,86125000
A & N ISLANDS,TOTAL,2007,3,9,1,21,2,18,0,54,238000,196000,434000
CHANDIGARH,TOTAL,2007,22,46,1,32,11,112,0,224,667000,495000,1162000
D & N HAVELI,TOTAL,2007,7,6,0,0,0,3,0,16,164000,117000,281000
DAMAN & DIU,TOTAL,2007,1,1,1,0,0,3,0,6,139000,88000,227000
LAKSHADWEEP,TOTAL,2007,1,0,0,2,0,2,0,5,37000,37000,74000
PUDUCHERRY,TOTAL,2007,9,14,2,89,32,17,0,163,579000,567000,1146000
ANDHRA PRADESH,TOTAL,2008,1257,1396,556,4730,3551,10306,0,21796,41475000,40900000,82375000
ARUNACHAL PRADESH,TOTAL,2008,42,47,0,72,1,13,0,175,631000,567000,1198000
ASSAM,TOTAL,2008,1438,1789,103,1272,2,3478,0,8082,15141000,14204000,29345000
BIHAR,TOTAL,2008,1302,1789,1210,999,21,1992,22,7335,48608000,45025000,93633000
CHHATTISGARH,TOTAL,2008,978,216,106,1621,125,897,0,3943,11682000,11587000,23269000
GOA,TOTAL,2008,30,28,2,32,12,12,0,116,832000,763000,1595000
GUJARAT,TOTAL,2008,374,1119,27,828,122,6094,0,8564,29672000,26954000,56626000
HARYANA,TOTAL,2008,631,644,302,435,605,2435,0,5052,13046000,11125000,24171000
