STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes,Males,Females,Persons
HIMACHAL PRADESH,TOTAL,2008,157,137,3,295,41,343,0,976,3364000,3231000,6595000
JAMMU & KASHMIR,TOTAL,2008,219,656,21,935,296,162,0,2289,5912000,5345000,11257000
JHARKHAND,TOTAL,2008,791,499,266,271,23,851,39,2740,15539000,14642000,30181000
KARNATAKA,TOTAL,2008,446,405,259,1954,44,2638,1,5747,29212000,28338000,57550000
KERALA,TOTAL,2008,568,166,31,2745,258,4138,0,7906,16466000,17336000,33802000
MADHYA PRADESH,TOTAL,2008,2937,736,805,6445,758,3185,0,14866,35851000,32886000,68737000
MAHARASHTRA,TOTAL,2008,1558,998,390,3619,1091,7829,0,15485,56321000,51651000,107972000
MANIPUR,TOTAL,2008,38,87,1,57,0,28,0,211,1193000,1171000,2364000
MEGHALAYA,TOTAL,2008,88,25,2,54,4,32,0,205,1280000,1250000,2530000
MIZORAM,TOTAL,2008,77,1,0,78,0,5,0,161,500000,470000,970000
NAGALAND,TOTAL,2008,19,7,0,15,1,4,0,46,1140000,1031000,2171000
ODISHA,TOTAL,2008,1113,762,401,2782,282,1618,0,6958,20068000,19586000,39654000
PUNJAB,TOTAL,2008,517,514,128,388,49,984,0,2580,14335000,12386000,26721000
RAJASTHAN,TOTAL,2008,1355,1863,439,2520,19,8113,0,14309,33656000,30877000,64533000
SIKKIM,TOTAL,2008,20,4,0,19,0,5,0,48,314000,276000,590000
TAMIL NADU,TOTAL,2008,573,1160,207,1705,974,1648,0,6267,33203000,32903000,66106000
TRIPURA,TOTAL,2008,204,110,16,346,4,735,0,1415,1788000,1703000,3491000
UTTAR PRADESH,TOTAL,2008,1871,4439,2237,2955,3374,8312,0,23188,100264000,89989000,190253000
UTTARAKHAND,TOTAL,2008,87,222,73,120,306,340,0,1148,4849000,4662000,9511000
WEST BENGAL,TOTAL,2008,2263,1907,451,2396,94,13663,5,20779,44820000,42174000,86994000
A & N ISLANDS,TOTAL,2008,12,13,2,24,3,26,0,80,244000,205000,449000
CHANDIGARH,TOTAL,2008,20,42,3,19,2,49,0,135,705000,522000,1227000
D & N HAVELI,TOTAL,2008,6,11,0,4,0,4,0,25,172000,127000,299000
DAMAN & DIU,TOTAL,2008,0,1,0,2,1,5,0,9,148000,89000,237000
LAKSHADWEEP,TOTAL,2008,2,1,0,0,0,1,0,4,37000,37000,74000
PUDUCHERRY,TOTAL,2008,8,9,2,65,21,12,0,117,613000,590000,1203000
ANDHRA PRADESH,TOTAL,2009,1188,1526,546,5147,3520,11297,0,23224,41862000,41316000,83178000
ARUNACHAL PRADESH,TOTAL,2009,59,28,0,58,6,13,0,164,639000,573000,1212000
ASSAM,TOTAL,2009,1631,2092,170,1342,10,4398,1,9644,15327000,14486000,29813000
BIHAR,TOTAL,2009,929,1986,1295,726,12,2532,31,7511,49303000,45724000,95027000
CHHATTISGARH,TOTAL,2009,976,229,128,1598,152,893,0,3976,11848000,11753000,23601000
GOA,TOTAL,2009,47,22,3,37,10,21,0,140,864000,791000,1655000
GUJARAT,TOTAL,2009,433,1162,24,727,114,5506,0,7966,30121000,27313000,57434000
HARYANA,TOTAL,2009,603,659,281,451,605,2617,0,5216,13284000,11313000,24597000
HIMACHAL PRADESH,TOTAL,2009,183,122,1,318,37,284,0,945,3400000,3262000,6662000
JAMMU & KASHMIR,TOTAL,2009,237,825,12,972,371,196,0,2613,5990000,5424000,11414000
JHARKHAND,TOTAL,2009,719,517,295,276,83,710,6,2606,15759000,14852000,30611000
KARNATAKA,TOTAL,2009,509,408,264,2186,64,3185,2,6618,29525000,28656000,58181000
KERALA,TOTAL,2009,568,173,20,2540,395,4007,0,7703,16601000,17462000,34063000
MADHYA PRADESH,TOTAL,2009,2998,841,858,6307,728,3983,1,15716,36461000,33436000,69897000
MAHARASHTRA,TOTAL,2009,1483,926,341,3196,1099,7681,0,14726,57171000,52382000,109553000
MANIPUR,TOTAL,2009,31,97,0,39,2,25,0,194,1207000,1186000,2393000
MEGHALAYA,TOTAL,2009,112,26,0,72,1,24,1,236,1295000,1265000,2560000
MIZORAM,TOTAL,2009,83,0,0,61,1,4,0,149,506000,475000,981000
NAGALAND,TOTAL,2009,22,10,0,11,0,0,0,43,1153000,1044000,2197000
ODISHA,TOTAL,2009,1023,799,384,2697,210,2047,1,7161,20249000,19776000,40025000
PUNJAB,TOTAL,2009,511,513,126,319,33,1061,0,2563,14523000,12525000,27048000
RAJASTHAN,TOTAL,2009,1519,2310,436,2485,24,10371,0,17145,34245000,31405000,65650000
SIKKIM,TOTAL,2009,18,6,0,10,0,6,0,40,318000,280000,598000
TAMIL NADU,TOTAL,2009,596,1133,194,1242,501,1460,0,5126,33426000,33140000,66566000
TRIPURA,TOTAL,2009,190,92,29,384,5,815,0,1515,1809000,1724000,3533000
UTTAR PRADESH,TOTAL,2009,1759,5078,2232,2782,2524,8566,0,22941,102113000,91650000,193763000
UTTARAKHAND,TOTAL,2009,111,247,94,119,249,361,0,1181,4924000,4732000,9656000
WEST BENGAL,TOTAL,2009,2336,2187,506,1942,108,16112,5,23196,45234000,42605000,87839000
A & N ISLANDS,TOTAL,2009,18,14,1,30,7,21,0,91,250000,215000,465000
CHANDIGARH,TOTAL,2009,29,36,2,26,2,51,0,146,747000,550000,1297000
D & N HAVELI,TOTAL,2009,4,9,0,2,1,3,0,19,179000,139000,318000
DAMAN & DIU,TOTAL,2009,1,0,0,4,1,3,0,9,157000,91000,248000
LAKSHADWEEP,TOTAL,2009,1,0,0,0,0,0,0,1,37000,37000,74000
PUDUCHERRY,TOTAL,2009,1,13,0,53,16,10,0,93,651000,615000,1266000
ANDHRA PRADESH,TOTAL,2010,1362,1531,588,4634,4562,12080,0,24757,42240000,41724000,83964000
ARUNACHAL PRADESH,TOTAL,2010,47,46,0,84,1,12,0,190,646000,580000,1226000
ASSAM,TOTAL,2010,1721,2767,175,1400,20,5410,0,11493,15512000,14678000,30190000
BIHAR,TOTAL,2010,795,2569,1257,534,16,2271,8,7450,49980000,46409000,96389000
CHHATTISGARH,TOTAL,2010,1012,279,115,1706,182,861,2,4157,12013000,11917000,23930000
GOA,TOTAL,2010,36,18,1,36,16,17,0,124,896000,818000,1714000
GUJARAT,TOTAL,2010,408,1290,19,668,110,5600,0,8095,30565000,27667000,58232000
HARYANA,TOTAL,2010,720,714,284,476,580,2720,0,5494,13520000,11500000,25020000
HIMACHAL PRADESH,TOTAL,2010,160,162,2,350,78,275,0,1027,3436000,3293000,6729000
JAMMU & KASHMIR,TOTAL,2010,245,840,9,1038,262,211,0,2605,6066000,5502000,11568000
JHARKHAND,TOTAL,2010,773,696,276,245,16,650,8,2664,15978000,15062000,31040000
KARNATAKA,TOTAL,2010,586,586,248,2544,83,3441,0,7488,29835000,28969000,58804000
KERALA,TOTAL,2010,634,184,22,2936,537,4797,0,9110,16732000,17585000,34317000
MADHYA PRADESH,TOTAL,2010,3135,1030,892,6646,918,3756,5,16382,37068000,33982000,71050000
MAHARASHTRA,TOTAL,2010,1599,1124,393,3661,1180,7434,0,15391,58013000,53105000,111118000
MANIPUR,TOTAL,2010,34,107,0,31,0,18,0,190,1221000,1200000,2421000
MEGHALAYA,TOTAL,2010,149,37,0,48,0,24,0,258,1310000,1280000,2590000
MIZORAM,TOTAL,2010,92,0,0,75,0,3,0,170,512000,481000,993000
NAGALAND,TOTAL,2010,16,6,0,13,3,1,0,39,1167000,1056000,2223000
ODISHA,TOTAL,2010,1025,912,388,2905,232,2067,5,7534,20427000,19963000,40390000
PUNJAB,TOTAL,2010,546,576,121,349,38,1163,0,2793,14707000,12661000,27368000
RAJASTHAN,TOTAL,2010,1571,2477,462,2339,23,11145,0,18017,34825000,31925000,66750000
SIKKIM,TOTAL,2010,18,6,1,11,0,3,0,39,321000,284000,605000
TAMIL NADU,TOTAL,2010,686,1464,165,1405,638,1570,0,5928,33643000,33369000,67012000
TRIPURA,TOTAL,2010,238,91,25,376,9,937,0,1676,1830000,1744000,3574000
UTTAR PRADESH,TOTAL,2010,1563,5468,2217,2793,11,7978,0,20030,103960000,93311000,197271000
UTTARAKHAND,TOTAL,2010,121,249,75,125,165,334,0,1069,4998000,4802000,9800000
WEST BENGAL,TOTAL,2010,2311,2764,507,2465,163,17796,8,26014,45640000,43029000,88669000
A & N ISLANDS,TOTAL,2010,24,8,0,31,10,9,0,82,256000,224000,480000
CHANDIGARH,TOTAL,2010,31,28,5,29,4,41,0,138,789000,579000,1368000
D & N HAVELI,TOTAL,2010,3,10,0,11,2,3,0,29,187000,150000,337000
DAMAN & DIU,TOTAL,2010,1,2,0,2,0,3,0,8,166000,93000,259000
LAKSHADWEEP,TOTAL,2010,0,0,0,0,0,0,0,0,38000,38000,76000
PUDUCHERRY,TOTAL,2010,3,14,1,46,22,7,0,93,691000,640000,1331000
ANDHRA PRADESH,TOTAL,2011,1442,1612,599,4849,3658,13376,0,25536,42611000,42124000,84735000
ARUNACHAL PRADESH,TOTAL,2011,42,60,0,51,0,18,0,171,654000,587000,1241000
ASSAM,TOTAL,2011,1700,3192,121,1193,8,5246,2,11462,15698000,14870000,30568000
BIHAR,TOTAL,2011,934,3050,1413,790,11,2607,10,8815,50640000,47080000,97720000
CHHATTISGARH,TOTAL,2011,1053,365,104,1654,174,834,2,4186,12177000,12081000,24258000
GOA,TOTAL,2011,29,17,1,29,12,18,0,106,926000,841000,1767000
GUJARAT,TOTAL,2011,439,1442,30,685,93,6052,0,8741,31005000,28016000,59021000
HARYANA,TOTAL,2011,733,733,255,474,490,2740,0,5425,13754000,11685000,25439000
HIMACHAL PRADESH,TOTAL,2011,168,191,4,331,62,239,0,995,3471000,3322000,6793000
JAMMU & KASHMIR,TOTAL,2011,277,1023,11,1194,350,286,0,3141,6139000,5579000,11718000
JHARKHAND,TOTAL,2011,784,660,282,317,7,659,6,2715,16198000,15274000,31472000
KARNATAKA,TOTAL,2011,636,715,267,2608,81,3712,12,8031,30140000,29278000,59418000
KERALA,TOTAL,2011,1132,221,15,3756,573,5377,0,11074,16859000,17704000,34563000
MADHYA PRADESH,TOTAL,2011,3406,1088,811,6665,762,3732,45,16509,37673000,34527000,72200000
MAHARASHTRA,TOTAL,2011,1701,1252,339,3794,1071,7136,0,15293,58844000,53816000,112660000
MANIPUR,TOTAL,2011,53,116,1,38,0,39,0,247,1235000,1214000,2449000
MEGHALAYA,TOTAL,2011,130,37,1,74,1,21,3,267,1325000,1296000,2621000
MIZORAM,TOTAL,2011,77,0,0,72,1,9,0,159,517000,487000,1004000
NAGALAND,TOTAL,2011,23,3,0,9,0,1,0,36,1180000,1069000,2249000
ODISHA,TOTAL,2011,1112,1008,465,3207,235,2320,0,8347,20602000,20148000,40750000
PUNJAB,TOTAL,2011,479,517,143,282,31,1136,0,2588,14886000,12792000,27678000
RAJASTHAN,TOTAL,2011,1800,2713,514,2447,9,12218,0,19701,35394000,32436000,67830000
SIKKIM,TOTAL,2011,16,10,0,24,0,4,0,54,325000,287000,612000
TAMIL NADU,TOTAL,2011,677,1743,152,1467,464,1812,0,6315,33852000,33592000,67444000
TRIPURA,TOTAL,2011,205,116,30,294,9,702,0,1356,1851000,1765000,3616000
UTTAR PRADESH,TOTAL,2011,2042,7525,2322,3455,3,7121,0,22468,105798000,94966000,200764000
UTTARAKHAND,TOTAL,2011,129,283,83,116,72,307,0,990,5072000,4871000,9943000
WEST BENGAL,TOTAL,2011,2363,3711,510,2363,200,19772,0,28919,46045000,43454000,89499000
A & N ISLANDS,TOTAL,2011,13,12,0,15,3,5,0,48,261000,233000,494000
CHANDIGARH,TOTAL,2011,27,46,2,21,12,46,0,154,832000,606000,1438000
D & N HAVELI,TOTAL,2011,4,8,0,2,0,3,0,17,194000,160000,354000
DAMAN & DIU,TOTAL,2011,1,2,0,0,0,2,0,5,175000,95000,270000
LAKSHADWEEP,TOTAL,2011,0,0,0,0,0,0,0,0,38000,38000,76000
PUDUCHERRY,TOTAL,2011,7,9,1,35,16,10,0,78,730000,661000,1391000
ANDHRA PRADESH,TOTAL,2012,1341,1403,504,4816,3714,13389,0,25167,42974000,42517000,85491000
ARUNACHAL PRADESH,TOTAL,2012,46,58,1,67,2,26,0,200,661000,594000,1255000
ASSAM,TOTAL,2012,1716,3360,140,1840,5,6407,2,13470,15883000,15061000,30944000
BIHAR,TOTAL,2012,927,3789,1275,118,37,3686,4,9836,51282000,47738000,99020000
CHHATTISGARH,TOTAL,2012,1034,350,81,1601,162,980,0,4208,12341000,12244000,24585000
GOA,TOTAL,2012,55,16,0,49,16,24,0,160,956000,862000,1818000
GUJARAT,TOTAL,2012,473,1527,21,745,93,6658,0,9517,31440000,28359000,59799000
HARYANA,TOTAL,2012,668,900,258,525,434,3137,0,5922,13985000,11869000,25854000
HIMACHAL PRADESH,TOTAL,2012,183,152,2,250,68,251,0,906,3505000,3351000,6856000
JAMMU & KASHMIR,TOTAL,2012,303,1041,8,1322,347,301,0,3322,6211000,5654000,11865000
JHARKHAND,TOTAL,2012,812,786,302,284,10,1261,3,3458,16418000,15486000,31904000
KARNATAKA,TOTAL,2012,621,1070,218,2978,100,3684,32,8703,30442000,29583000,60025000
KERALA,TOTAL,2012,1019,214,32,3735,498,5216,0,10714,16983000,17819000,34802000
MADHYA PRADESH,TOTAL,2012,3425,1127,743,6655,774,3988,6,16718,38275000,35069000,73344000
MAHARASHTRA,TOTAL,2012,1839,1140,329,3935,1294,7415,0,15952,59666000,54519000,114185000
MANIPUR,TOTAL,2012,63,133,0,49,1,43,0,289,1249000,1229000,2478000
MEGHALAYA,TOTAL,2012,164,24,1,43,0,16,0,248,1340000,1311000,2651000
MIZORAM,TOTAL,2012,103,3,0,85,0,8,0,199,523000,493000,1016000
NAGALAND,TOTAL,2012,21,10,0,16,0,0,0,47,1193000,1082000,2275000
ODISHA,TOTAL,2012,1458,1364,525,4187,304,2638,0,10476,20774000,20330000,41104000
PUNJAB,TOTAL,2012,680,689,118,340,31,1293,0,3151,15061000,12920000,27981000
RAJASTHAN,TOTAL,2012,2049,2697,478,2352,18,13312,0,20906,35954000,32938000,68892000
SIKKIM,TOTAL,2012,34,10,1,19,0,4,0,68,329000,291000,620000
TAMIL NADU,TOTAL,2012,737,1693,110,1494,382,1965,0,6381,34054000,33808000,67862000
TRIPURA,TOTAL,2012,229,114,37,314,7,858,0,1559,1872000,1786000,3658000
UTTAR PRADESH,TOTAL,2012,1963,7910,2244,3247,8,7661,0,23033,107632000,96618000,204250000
UTTARAKHAND,TOTAL,2012,148,256,71,139,73,368,0,1055,5145000,4939000,10084000
WEST BENGAL,TOTAL,2012,2046,4168,593,3345,556,19865,12,30585,46445000,43874000,90319000
A & N ISLANDS,TOTAL,2012,12,7,2,17,4,5,0,47,266000,241000,507000
CHANDIGARH,TOTAL,2012,27,66,5,45,25,73,0,241,876000,632000,1508000
D & N HAVELI,TOTAL,2012,3,9,0,2,0,0,0,14,201000,169000,370000
DAMAN & DIU,TOTAL,2012,5,0,0,0,0,3,0,8,184000,97000,281000
LAKSHADWEEP,TOTAL,2012,0,0,0,1,0,1,0,2,38000,39000,77000
PUDUCHERRY,TOTAL,2012,13,16,0,9,2,6,0,46,770000,681000,1451000
ANDHRA PRADESH,TOTAL,2013,1635,1595,492,6930,4702,15084,0,30438,43329000,42901000,86230000
ARUNACHAL PRADESH,TOTAL,2013,75,86,0,93,3,29,0,286,668000,601000,1269000
ASSAM,TOTAL,2013,1937,4222,170,2409,14,8636,2,17390,16068000,15251000,31319000
BIHAR,TOTAL,2013,1128,4419,1182,331,52,4533,7,11652,51906000,48382000,100288000
CHHATTISGARH,TOTAL,2013,1380,1881,109,2261,180,1181,1,6993,12503000,12406000,24909000
GOA,TOTAL,2013,86,70,0,162,54,40,0,412,986000,882000,1868000
GUJARAT,TOTAL,2013,732,2230,29,1243,77,7812,0,12123,31871000,28698000,60569000
HARYANA,TOTAL,2013,971,1957,263,1560,643,3617,2,9013,14216000,12051000,26267000
HIMACHAL PRADESH,TOTAL,2013,250,290,0,493,111,328,0,1472,3539000,3380000,6919000
JAMMU & KASHMIR,TOTAL,2013,378,949,7,1389,354,428,0,3505,6282000,5728000,12010000
JHARKHAND,TOTAL,2013,1204,926,307,524,18,2084,2,5065,16636000,15698000,32334000
KARNATAKA,TOTAL,2013,1030,1359,277,3913,137,3276,0,9992,30740000,29883000,60623000
KERALA,TOTAL,2013,1221,185,21,4362,404,4820,0,11013,17104000,17930000,35034000
MADHYA PRADESH,TOTAL,2013,4335,2873,776,8252,736,4988,7,21967,38874000,35608000,74482000
MAHARASHTRA,TOTAL,2013,3063,1874,320,8132,2632,8542,0,24563,60482000,55215000,115697000
MANIPUR,TOTAL,2013,72,125,0,59,0,29,0,285,1263000,1243000,2506000
MEGHALAYA,TOTAL,2013,183,33,2,98,0,23,0,339,1355000,1326000,2681000
MIZORAM,TOTAL,2013,89,2,0,81,0,5,0,177,529000,498000,1027000
NAGALAND,TOTAL,2013,31,11,1,18,1,4,0,66,1207000,1094000,2301000
ODISHA,TOTAL,2013,1832,2067,395,4618,426,2792,0,12130,20943000,20510000,41453000
PUNJAB,TOTAL,2013,888,987,126,1045,67,1741,0,4854,15233000,13046000,28279000
RAJASTHAN,TOTAL,2013,3285,4047,453,4829,25,15094,1,27734,36506000,33434000,69940000
SIKKIM,TOTAL,2013,43,16,0,29,0,5,0,93,332000,294000,626000
TAMIL NADU,TOTAL,2013,923,1516,118,1271,313,2471,0,6612,34248000,34017000,68265000
TRIPURA,TOTAL,2013,233,124,29,407,7,827,0,1627,1893000,1807000,3700000
UTTAR PRADESH,TOTAL,2013,3050,9737,2335,7303,25,8781,0,31231,107632000,98273000,205905000
UTTARAKHAND,TOTAL,2013,228,633,43,295,72,435,0,1706,5217000,5006000,10223000
WEST BENGAL,TOTAL,2013,1685,3830,481,4913,577,18116,9,29611,46836000,44287000,91123000
A & N ISLANDS,TOTAL,2013,27,12,1,45,8,9,0,102,271000,250000,521000
CHANDIGARH,TOTAL,2013,45,174,1,143,26,92,0,481,921000,659000,1580000
D & N HAVELI,TOTAL,2013,5,11,0,1,1,1,0,19,208000,178000,386000
DAMAN & DIU,TOTAL,2013,8,6,0,2,0,2,0,18,193000,99000,292000
LAKSHADWEEP,TOTAL,2013,2,0,0,1,0,0,0,3,38000,39000,77000
PUDUCHERRY,TOTAL,2013,17,25,1,12,8,8,0,71,812000,701000,1513000
ARUNACHAL PRADESH,TOTAL,2014,83,91,1,121,3,42,0,341,676000,608000,1284000
ASSAM,TOTAL,2014,1980,3895,188,3099,1,9626,1,18790,16252000,15441000,31693000
BIHAR,TOTAL,2014,1127,4735,1373,572,69,4672,5,12553,52514000,49012000,101526000
CHHATTISGARH,TOTAL,2014,1436,1393,128,2122,79,964,0,6122,12665000,12567000,25232000
GOA,TOTAL,2014,95,86,0,202,57,35,0,475,1015000,900000,1915000
GUJARAT,TOTAL,2014,841,2187,23,1352,173,5991,0,10567,32298000,29032000,61330000
HARYANA,TOTAL,2014,1174,1922,293,1688,102,3478,0,8657,14444000,12231000,26675000
HIMACHAL PRADESH,TOTAL,2014,283,227,1,538,60,325,0,1434,3571000,3407000,6978000
JAMMU & KASHMIR,TOTAL,2014,331,813,5,1421,237,467,0,3274,6350000,5801000,12151000
JHARKHAND,TOTAL,2014,1050,885,350,440,18,1462,2,4207,16855000,15910000,32765000
KARNATAKA,TOTAL,2014,1324,1457,313,5263,170,3025,0,11552,31035000,30179000,61214000
KERALA,TOTAL,2014,1347,143,28,4367,257,4919,0,11061,17221000,18037000,35258000
MADHYA PRADESH,TOTAL,2014,5076,5688,733,9609,429,6451,0,27986,39471000,36144000,75615000
MAHARASHTRA,TOTAL,2014,3438,2457,279,10001,1575,7696,1,25447,61289000,55900000,117189000
MANIPUR,TOTAL,2014,75,121,1,98,0,41,0,336,1277000,1258000,2535000
MEGHALAYA,TOTAL,2014,118,38,1,105,54,42,0,358,1370000,1342000,2712000
MIZORAM,TOTAL,2014,120,3,0,97,29,8,0,257,535000,504000,1039000
NAGALAND,TOTAL,2014,30,13,0,16,1,3,0,63,1220000,1107000,2327000
ODISHA,TOTAL,2014,1978,2436,441,5543,379,3114,0,13891,21109000,20688000,41797000
PUNJAB,TOTAL,2014,981,1176,90,1113,35,1681,0,5076,15401000,13167000,28568000
RAJASTHAN,TOTAL,2014,3759,4421,408,5999,18,15905,0,30510,37048000,33921000,70969000
SIKKIM,TOTAL,2014,47,12,0,34,3,5,0,101,336000,297000,633000
TAMIL NADU,TOTAL,2014,455,1502,95,1102,229,2103,0,5486,34435000,34218000,68653000
TRIPURA,TOTAL,2014,239,102,33,492,11,702,0,1579,1914000,1828000,3742000
UTTAR PRADESH,TOTAL,2014,3467,10626,2469,8605,29,10471,0,35667,111294000,99923000,211217000
UTTARAKHAND,TOTAL,2014,270,275,38,343,4,301,0,1231,5290000,5073000,10363000
WEST BENGAL,TOTAL,2014,1466,4976,501,5670,543,23278,4,36438,47223000,44697000,91920000
A & N ISLANDS,TOTAL,2014,32,17,3,41,5,14,0,112,275000,257000,532000
CHANDIGARH,TOTAL,2014,59,133,2,87,2,141,0,424,967000,684000,1651000
D & N HAVELI,TOTAL,2014,5,7,0,2,1,6,0,21,215000,187000,402000
DAMAN & DIU,TOTAL,2014,2,1,0,3,0,1,0,7,203000,102000,305000
LAKSHADWEEP,TOTAL,2014,1,0,0,1,2,0,0,4,39000,40000,79000
PUDUCHERRY,TOTAL,2014,10,7,1,32,8,4,0,62,854000,719000,1573000
ANDHRA PRADESH,TOTAL,2014,1940,1432,504,7735,3791,12731,0,28133,43676000,43277000,86953000
INDIA,TOTAL,2001,15694,13681,6738,33622,9656,49032,114,128537,532157000,496454000,1028611000
INDIA,TOTAL,2002,15970,13613,6687,33497,10027,49102,76,128972,540936000,504611000,1045547000
INDIA,TOTAL,2003,15357,12499,6078,32450,12220,49492,46,128142,549671000,512716000,1062387000
INDIA,TOTAL,2004,17682,14697,6900,33966,9871,56867,89,140072,558354000,520763000,1079117000
INDIA,TOTAL,2005,17701,14644,6673,33413,9759,56995,148,139333,566976000,528746000,1095722000
INDIA,TOTAL,2006,18725,16348,7481,35899,9822,61400,67,149742,575529000,536657000,1112186000
INDIA,TOTAL,2007,20139,19249,7955,37866,10783,74143,61,170196,584019000,544501000,1128520000
INDIA,TOTAL,2008,21001,21803,8043,39802,12084,79957,67,182757,592451000,552283000,1144734000
INDIA,TOTAL,2009,20928,24086,8242,38159,10891,88263,48,190617,600816000,889997000,1490813000
INDIA,TOTAL,2010,21665,28055,8248,40012,9881,92637,36,200534,609107000,567634000,1176741000
INDIA,TOTAL,2011,23634,33480,8476,42311,8408,97560,80,213949,617316000,575191000,1192507000
INDIA,TOTAL,2012,24217,36102,8099,44624,8965,104542,59,226608,625446000,582670000,1208116000
INDIA,TOTAL,2013,32071,48272,7939,67224,11673,115833,31,283043,633505000,590076000,1223581000
INDIA,TOTAL,2014,34639,53277,8302,77913,8374,119704,13,302222,641484000,597403000,1238887000
